name,lat,lng
AND,47.651740,-122.307508
MGH,47.654983,-122.307455
BAG,47.653668,-122.308477
SIG,47.654887,-122.3086853
SMI,47.6564039,-122.3096955
THO,47.6565318,-122.3079667
SAV,47.6571426,-122.3105805
DEN,47.6571422,-122.3171466
LOW,47.6543209,-122.3066649
RAI,47.657897,-122.3094275
CMU,47.6570485,122.3074599
KNE,47.6566273,-122.311339
CDH,47.6566235,-122.3182422
MOR,47.6525007,-122.30703
BNS,47.653044,-122.3117714
JHN,47.6545669,-122.3110406
EEB,47.653555,-122.3085158
MUS,47.6577378,-122.3081504
ARC,47.6547131,-122.3130013
CLK,47.6576357,-122.3070949
MEB,47.6537,-122.3069662
CHL,47.653695,-122.3121531
PAR,47.6574295,-122.3124444
ART,47.6584563,-122.3087725
DEM,47.6591654,-122.3098974
PCAR,47.6591406,-122.3107869
GUG,47.6542429,-122.3086295
LEW,47.6109282,-122.3768382
CMA,47.6598052,-122.2945773
MLR,47.6571902,-122.3085035
MUE,47.6522056,-122.3076086
AND,47.6517622,-122.3097289
EXED,47.6595781,-122.3099055
BLD,47.6512988,-122.3098526
PAB,47.6536047,-122.3134685
PAA,47.4936544,-122.737861
SWS,47.657558,-122.3290309
MAR,47.6564521,-122.319638
GLD,47.6549077,-122.3148465
EGL,47.6581063,-122.3145926
FTR,47.652545,122.3177779
FSH,47.6525236,-122.3856294
CHB,47.6529596,-122.3105295
ATG,47.6529382,-122.378381
OTB,47.6528956,-122.3783812
OUG,47.656462,-122.3125347
PDL,47.656969,-122.3066095
GWN,47.6564153,-122.3100306
MNY,47.655709,-122.3127576
HUT,47.659607,-122.3087471
OBS,47.6604055,-122.3114209
HSD,47.6506536,-122.3112148
SOCC,47.6494921,-122.3131204
HCK,47.6519174,-122.3137062
CSH,47.6529261,-122.3019588
GNOM,47.6521298,-122.3150465
HST,47.6506536,-122.3112148
HSK,47.6506536,-122.3112148
ICT,47.6552546,-122.3131596
WFS,47.6555158,-122.3146354
HSB,47.6506536,-122.3112148
PAT,47.6533168,-122.3138985
NPL,47.6600369,-122.3050723
GTH,47.6600155,-122.3729238
GA1,47.6540136,-122.3139304
BRTC,47.6550625,-122.3129415
CHCL,47.6506935,-122.3113228
MKZ,47.6587088,-122.3094741
HSE,47.6506536,-122.3112148
HSI,47.6506536,-122.3112148
HSR,47.6506536,-122.3112148
AER,47.676708,-122.3138053
HHL,47.6499914,-122.3136434
CSE,47.6532487,-122.3080374
MAH,47.65568,-122.3182481
OCN,47.6513864,-122.3148591
OCE,47.6491388,-122.3127458
ACC,47.6530398,-122.3170522
DRC,47.6577636,-122.2910585
MSB,47.6499088,-122.3150611
ALD,47.6558453,-122.3161394
LAW,47.6592689,-122.3129744
BIOE,47.6523763,-122.3150128
HSJ,47.6506536,-122.3112148
SLU,47.6270102,-122.3542717
HSA,47.6506536,-122.3112148
UMC,47.659456,-122.3145777
HSH,47.6506536,-122.3112148
